Source,Target,Type,Label
kt2,mea,Undirected,Gleiche Gruppe
kt2,thd3,Undirected,Gleiche Gruppe
kt2,thd4,Undirected,Gleiche Gruppe
kt2,wueb,Undirected,Gleiche Gruppe
mant1,mant2,Undirected,Gleiche Gruppe
mant1,mea,Undirected,Gleiche Gruppe
mant1,thd3,Undirected,Gleiche Gruppe
mant1,thd4,Undirected,Gleiche Gruppe
mant1,wueb,Undirected,Gleiche Gruppe
mant2,mea,Undirected,Gleiche Gruppe
mant2,thd3,Undirected,Gleiche Gruppe
mant2,thd4,Undirected,Gleiche Gruppe
mant2,wueb,Undirected,Gleiche Gruppe
mea,thd3,Undirected,Gleiche Gruppe
mea,thd4,Undirected,Gleiche Gruppe
mea,wueb,Undirected,Gleiche Gruppe
thd3,thd4,Undirected,Gleiche Gruppe
thd3,wueb,Undirected,Gleiche Gruppe
thd4,wueb,Undirected,Gleiche Gruppe
ch1,elmag,Undirected,Gleiche Gruppe
ch1,mechM,Undirected,Gleiche Gruppe
ch1,sww,Undirected,Gleiche Gruppe
ch1,wch,Undirected,Gleiche Gruppe
ch1,wus,Undirected,Gleiche Gruppe
elmag,mechM,Undirected,Gleiche Gruppe
elmag,sww,Undirected,Gleiche Gruppe
elmag,wch,Undirected,Gleiche Gruppe
elmag,wus,Undirected,Gleiche Gruppe
mechM,sww,Undirected,Gleiche Gruppe
mechM,wch,Undirected,Gleiche Gruppe
mechM,wus,Undirected,Gleiche Gruppe
sww,wch,Undirected,Gleiche Gruppe
sww,wus,Undirected,Gleiche Gruppe
wch,wus,Undirected,Gleiche Gruppe
atL,eltM,Undirected,Gleiche Gruppe
atL,rtL,Undirected,Gleiche Gruppe
eltM,rtL,Undirected,Gleiche Gruppe
cfds,chkL,Undirected,Gleiche Gruppe
cfds,fems,Undirected,Gleiche Gruppe
cfds,mst,Undirected,Gleiche Gruppe
cfds,phwkL,Undirected,Gleiche Gruppe
cfds,wkwkL,Undirected,Gleiche Gruppe
chkL,fems,Undirected,Gleiche Gruppe
chkL,mst,Undirected,Gleiche Gruppe
chkL,phwkL,Undirected,Gleiche Gruppe
chkL,wkwkL,Undirected,Gleiche Gruppe
fems,mst,Undirected,Gleiche Gruppe
fems,phwkL,Undirected,Gleiche Gruppe
fems,wkwkL,Undirected,Gleiche Gruppe
mst,phwkL,Undirected,Gleiche Gruppe
mst,wkwkL,Undirected,Gleiche Gruppe
phwkL,wkwkL,Undirected,Gleiche Gruppe
dan,infM,Undirected,Gleiche Gruppe
dan,lalg1,Undirected,Gleiche Gruppe
dan,lalg2,Undirected,Gleiche Gruppe
dan,wst,Undirected,Gleiche Gruppe
infM,lalg1,Undirected,Gleiche Gruppe
infM,lalg2,Undirected,Gleiche Gruppe
infM,wst,Undirected,Gleiche Gruppe
lalg1,lalg2,Undirected,Gleiche Gruppe
lalg1,wst,Undirected,Gleiche Gruppe
lalg2,wst,Undirected,Gleiche Gruppe
an1,an2,Undirected,Gleiche Gruppe
an1,dglM,Undirected,Gleiche Gruppe
an1,man,Undirected,Gleiche Gruppe
an1,num,Undirected,Gleiche Gruppe
an2,dglM,Undirected,Gleiche Gruppe
an2,man,Undirected,Gleiche Gruppe
an2,num,Undirected,Gleiche Gruppe
dglM,man,Undirected,Gleiche Gruppe
dglM,num,Undirected,Gleiche Gruppe
man,num,Undirected,Gleiche Gruppe
dms,elstk,Undirected,Gleiche Gruppe
dms,kmk,Undirected,Gleiche Gruppe
dms,md,Undirected,Gleiche Gruppe
dms,stk,Undirected,Gleiche Gruppe
elstk,kmk,Undirected,Gleiche Gruppe
elstk,md,Undirected,Gleiche Gruppe
elstk,stk,Undirected,Gleiche Gruppe
kmk,md,Undirected,Gleiche Gruppe
kmk,stk,Undirected,Gleiche Gruppe
md,stk,Undirected,Gleiche Gruppe
egts,flmM,Undirected,Gleiche Gruppe
egts,thdM,Undirected,Gleiche Gruppe
flmM,thdM,Undirected,Gleiche Gruppe
hkon,mel,Undirected,Gleiche Gruppe
hkon,werk1,Undirected,Gleiche Gruppe
hkon,werk2,Undirected,Gleiche Gruppe
hkon,werk3,Undirected,Gleiche Gruppe
mel,werk1,Undirected,Gleiche Gruppe
mel,werk2,Undirected,Gleiche Gruppe
mel,werk3,Undirected,Gleiche Gruppe
werk1,werk2,Undirected,Gleiche Gruppe
werk1,werk3,Undirected,Gleiche Gruppe
werk2,werk3,Undirected,Gleiche Gruppe
pro1M,pro2M,Undirected,Gleiche Gruppe
pro1M,pro3M,Undirected,Gleiche Gruppe
pro1M,pro4M,Undirected,Gleiche Gruppe
pro1M,pro5M,Undirected,Gleiche Gruppe
pro1M,pro6M,Undirected,Gleiche Gruppe
pro2M,pro3M,Undirected,Gleiche Gruppe
pro2M,pro4M,Undirected,Gleiche Gruppe
pro2M,pro5M,Undirected,Gleiche Gruppe
pro2M,pro6M,Undirected,Gleiche Gruppe
pro3M,pro4M,Undirected,Gleiche Gruppe
pro3M,pro5M,Undirected,Gleiche Gruppe
pro3M,pro6M,Undirected,Gleiche Gruppe
pro4M,pro5M,Undirected,Gleiche Gruppe
pro4M,pro6M,Undirected,Gleiche Gruppe
pro5M,pro6M,Undirected,Gleiche Gruppe
